epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2014.04,2.78212,6.42496,1.51039,0.00306,0.27705,0.00311,0.00115,2.52687,3.88131,1.53805,0.00333212,0.00333212,0.00333212
2,4022.16,2.3241,3.04666,1.33278,0.03009,0.0995,0.01312,0.00378,2.81853,3.9137,1.67809,0.00659946,0.00659946,0.00659946
